Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Strength
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.29
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,36.45
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,45.85
475.0,0.0,0.0,228.0,0.0,932.0,594.0,120,44.29
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,56.04
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,48.34
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,90,58.5
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,90,63.7
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,51.84
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,55.45
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,56.04
225.0,142.5,0.0,208.0,0.0,932.0,594.0,90,45.85
225.0,142.5,0.0,208.0,0.0,932.0,594.0,180,49.57
225.0,142.5,0.0,208.0,0.0,932.0,594.0,270,52.91
225.0,142.5,0.0,208.0,0.0,932.0,594.0,365,53.49
225.0,142.5,0.0,208.0,0.0,932.0,594.0,180,52.54
225.0,142.5,0.0,208.0,0.0,932.0,594.0,270,54.89
225.0,142.5,0.0,208.0,0.0,932.0,594.0,365,55.22
350.0,0.0,0.0,208.0,0.0,932.0,594.0,270,54.26
350.0,0.0,0.0,208.0,0.0,932.0,594.0,365,55.45
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,47.03
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,48.34
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,52.54
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,44.29
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,45.85
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,49.57
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,50.15
350.0,0.0,0.0,208.0,0.0,932.0,594.0,90,46.12
350.0,0.0,0.0,208.0,0.0,932.0,594.0,180,48.34
350.0,0.0,0.0,208.0,0.0,932.0,594.0,270,50.15
350.0,0.0,0.0,208.0,0.0,932.0,594.0,365,51.84
276.5,0.0,0.0,165.0,3.5,1035.0,724.0,28,68.99
276.5,0.0,0.0,165.0,3.5,1046.0,724.0,28,69.5
276.5,0.0,0.0,165.0,3.5,1035.0,724.0,56,66.5
276.5,0.0,0.0,165.0,3.5,1046.0,724.0,56,67.7
276.5,0.0,0.0,165.0,3.5,1035.0,724.0,91,69.4
276.5,0.0,0.0,165.0,3.5,1046.0,724.0,91,69.6
276.5,0.0,0.0,165.0,3.5,1035.0,724.0,182,71.3
276.5,0.0,0.0,165.0,3.5,1046.0,724.0,182,72.9
276.5,0.0,0.0,165.0,3.5,1035.0,724.0,365,72.7
276.5,0.0,0.0,165.0,3.5,1046.0,724.0,365,73.5
276.5,0.0,0.0,165.0,3.5,1035.0,724.0,28,69.5
276.5,0.0,0.0,165.0,3.5,1046.0,724.0,28,68.9
276.5,0.0,0.0,165.0,3.5,1035.0,724.0,56,67.7
276.5,0.0,0.0,165.0,3.5,1046.0,724.0,56,69.4
276.5,0.0,0.0,165.0,3.5,1035.0,724.0,91,69.6
276.5,0.0,0.0,165.0,3.5,1046.0,724.0,91,71.3
276.5,0.0,0.0,165.0,3.5,1035.0,724.0,182,72.9
276.5,0.0,0.0,165.0,3.5,1046.0,724.0,182,72.7
276.5,0.0,0.0,165.0,3.5,1035.0,724.0,365,73.5
276.5,0.0,0.0,165.0,3.5,1046.0,724.0,365,73.7
162.0,192.0,0.0,192.0,0.0,935.0,780.0,7,47.03
349.0,0.0,0.0,192.0,0.0,967.0,825.5,7,30.97
349.0,0.0,0.0,192.0,0.0,967.0,825.5,28,38.07
349.0,0.0,0.0,192.0,0.0,967.0,825.5,56,38.07
349.0,0.0,0.0,192.0,0.0,967.0,825.5,90,38.07
349.0,0.0,0.0,192.0,0.0,967.0,825.5,180,38.07
349.0,0.0,0.0,192.0,0.0,967.0,825.5,270,38.07
349.0,0.0,0.0,192.0,0.0,967.0,825.5,365,38.07
162.0,192.0,0.0,192.0,0.0,935.0,780.0,28,51.84
162.0,192.0,0.0,192.0,0.0,935.0,780.0,56,54.89
162.0,192.0,0.0,192.0,0.0,935.0,780.0,90,56.04
162.0,192.0,0.0,192.0,0.0,935.0,780.0,180,56.04
162.0,192.0,0.0,192.0,0.0,935.0,780.0,270,56.04
162.0,192.0,0.0,192.0,0.0,935.0,780.0,365,56.04
350.0,0.0,0.0,192.0,0.0,967.0,825.5,7,32.4
350.0,0.0,0.0,192.0,0.0,967.0,825.5,28,39.0
350.0,0.0,0.0,192.0,0.0,967.0,825.5,56,41.05
350.0,0.0,0.0,192.0,0.0,967.0,825.5,90,41.05
350.0,0.0,0.0,192.0,0.0,967.0,825.5,180,42.24
350.0,0.0,0.0,192.0,0.0,967.0,825.5,270,42.24
350.0,0.0,0.0,192.0,0.0,967.0,825.5,365,42.24
162.0,192.0,0.0,192.0,0.0,935.0,780.0,180,56.04
